"title"	"track_n"	"text"	"album"	"artist"
"1"	"London Calling"	1	"London calling to the faraway towns"	"London Calling"	"The Clash"
"2"	"London Calling"	1	"Now war is declared and battle come down"	"London Calling"	"The Clash"
"3"	"London Calling"	1	"London calling to the underworld"	"London Calling"	"The Clash"
"4"	"London Calling"	1	"Come outta' the cupboard, ya' boys and girls"	"London Calling"	"The Clash"
"5"	"London Calling"	1	"London calling, now don't look to us"	"London Calling"	"The Clash"
"6"	"London Calling"	1	"Phony Beatlemania has bitten the dust"	"London Calling"	"The Clash"
"7"	"London Calling"	1	"London calling, see we ain't got no swing"	"London Calling"	"The Clash"
"8"	"London Calling"	1	"'Cept for the ring of that truncheon thing"	"London Calling"	"The Clash"
"9"	"London Calling"	1	"The ice age is coming"	"London Calling"	"The Clash"
"10"	"London Calling"	1	", the sun's zoomin' in"	"London Calling"	"The Clash"
"11"	"London Calling"	1	"Meltdown expected"	"London Calling"	"The Clash"
"12"	"London Calling"	1	"the wheat is growin' thin"	"London Calling"	"The Clash"
"13"	"London Calling"	1	"Engines stop running"	"London Calling"	"The Clash"
"14"	"London Calling"	1	", but I have no fear"	"London Calling"	"The Clash"
"15"	"London Calling"	1	"Cause London is drownin', I, live by the river"	"London Calling"	"The Clash"
"16"	"London Calling"	1	"(London calling) to the imitation zone"	"London Calling"	"The Clash"
"17"	"London Calling"	1	"Forget it, brother, you can go it alone"	"London Calling"	"The Clash"
"18"	"London Calling"	1	"London calling to the zombies of death"	"London Calling"	"The Clash"
"19"	"London Calling"	1	"Quit holdin' out and draw another breath"	"London Calling"	"The Clash"
"20"	"London Calling"	1	"London calling and I don't want to shout"	"London Calling"	"The Clash"
"21"	"London Calling"	1	"But while we were talking I saw you noddin' out"	"London Calling"	"The Clash"
"22"	"London Calling"	1	"London calling, see "	"London Calling"	"The Clash"
"23"	"London Calling"	1	"we ain't got no high"	"London Calling"	"The Clash"
"24"	"London Calling"	1	"'Cept for that one with the yellowy eyes"	"London Calling"	"The Clash"
"25"	"London Calling"	1	"The ice age is coming, the sun's zoomin' in"	"London Calling"	"The Clash"
"26"	"London Calling"	1	"Engines stop running, the wheat is growin' thin"	"London Calling"	"The Clash"
"27"	"London Calling"	1	"A nuclear error, but I have no fear"	"London Calling"	"The Clash"
"28"	"London Calling"	1	"Cause London is drowning, I, I live by the river"	"London Calling"	"The Clash"
"29"	"London Calling"	1	"(x2)"	"London Calling"	"The Clash"
"30"	"London Calling"	1	"Now get this"	"London Calling"	"The Clash"
"31"	"London Calling"	1	"(London calling), yes, I was there, too"	"London Calling"	"The Clash"
"32"	"London Calling"	1	"And ya' know what they said? Well, some of it was true!"	"London Calling"	"The Clash"
"33"	"London Calling"	1	"(London calling) at the top of the dial"	"London Calling"	"The Clash"
"34"	"London Calling"	1	"And after all this, won't you give me a smile?"	"London Calling"	"The Clash"
"35"	"London Calling"	1	"(London calling)"	"London Calling"	"The Clash"
"36"	"London Calling"	1	"I never felt so much alike alike alike"	"London Calling"	"The Clash"
"37"	"Brand New Cadillac"	2	"Driiiiiiiive!!!"	"London Calling"	"The Clash"
"38"	"Brand New Cadillac"	2	"Driiiiiiiive!!!"	"London Calling"	"The Clash"
"39"	"Brand New Cadillac"	2	"My baby drove up in a brand new Cadillac"	"London Calling"	"The Clash"
"40"	"Brand New Cadillac"	2	"Yes, she did"	"London Calling"	"The Clash"
